transactionID,waitTime,serviceTime,staffing,timeOfDay,tableTime
8587,5.72,9.91,Fully Staffed,Breakfast,32.12
9369,7.83,9.06,Fully Staffed,Breakfast,34.98
6531,6.81,16.82,Understaffed,Breakfast,32.96
5619,6.69,18.51,Understaffed,Breakfast,42.16
6697,2.96,12.53,Understaffed,Lunch,29.59
1203,3.4,14.08,Understaffed,Lunch,34.08
4246,4.85,12.88,Fully Staffed,Breakfast,43.95
3420,6.59,8.4,Understaffed,Breakfast,33.25
9855,3.01,9.36,Fully Staffed,Lunch,33.2
8631,7.84,21.19,Understaffed,Brunch,35.65
3431,5.33,14.39,Fully Staffed,Brunch,30.46
6241,5.83,10.31,Fully Staffed,Lunch,41.73
8566,4.46,8.27,Fully Staffed,Lunch,22.8
3362,5.95,10.33,Fully Staffed,Brunch,31.4
1258,4.24,8.69,Fully Staffed,Lunch,33.15
6984,3.65,19.36,Understaffed,Lunch,44.45
6408,6.56,12.58,Understaffed,Breakfast,38.03
8215,7.37,10.75,Fully Staffed,Brunch,29.93
2324,5.48,11.24,Fully Staffed,Brunch,27.14
5105,5.81,8.48,Fully Staffed,Brunch,26.94
5265,7.45,17.55,Understaffed,Brunch,33.04
4351,8.46,8.5,Fully Staffed,Breakfast,31.64
8515,7.63,16.89,Understaffed,Breakfast,42.49
5070,6.06,12.19,Fully Staffed,Brunch,42.83
3449,8.24,12.03,Understaffed,Brunch,33.86
2232,5.93,18.32,Understaffed,Breakfast,33.95
2672,4.3,13.53,Understaffed,Lunch,38.65
4466,6.39,15.88,Understaffed,Breakfast,40.4
5356,6.58,10.4,Fully Staffed,Lunch,29.21
3588,2.81,9.15,Fully Staffed,Lunch,21.36
7469,7.15,10.54,Fully Staffed,Brunch,34.35
6193,2.22,7.54,Fully Staffed,Lunch,33.19
3329,4.59,14.59,Understaffed,Lunch,33.11
2608,5.1,11.65,Fully Staffed,Lunch,34.33
4338,8.17,8.48,Understaffed,Breakfast,27.1
7006,2.07,10.54,Understaffed,Lunch,33.95
6381,6.62,7.68,Fully Staffed,Breakfast,27.09
2759,5.59,10.23,Understaffed,Lunch,28.51
9756,5.38,16.26,Understaffed,Breakfast,36.82
6338,5.68,8.01,Fully Staffed,Breakfast,26.59
7839,6.95,8.51,Understaffed,Brunch,25.55
4423,7.55,8.72,Fully Staffed,Brunch,27.14
6085,7,13.83,Understaffed,Breakfast,33.79
5547,7.98,17.57,Understaffed,Breakfast,38.61
2947,5.86,11.69,Understaffed,Breakfast,39.35
6698,4.2,12.32,Fully Staffed,Lunch,25.53
2959,9.73,10.8,Fully Staffed,Breakfast,29.8
1645,6.65,16.09,Understaffed,Breakfast,39.25
2059,7.28,12.44,Understaffed,Brunch,41.25
4126,3.99,13.91,Fully Staffed,Breakfast,36.04
2263,6,9.67,Fully Staffed,Breakfast,29.6
5083,3.78,6.35,Fully Staffed,Lunch,24.81
4081,6.98,9.59,Fully Staffed,Brunch,31.66
4493,3.42,9.2,Understaffed,Lunch,34.15
6731,5.97,9.38,Fully Staffed,Brunch,28.46
2203,3.28,9.16,Fully Staffed,Lunch,29.98
5373,5.68,11.36,Fully Staffed,Breakfast,32.44
9432,9.05,18.03,Understaffed,Brunch,41.68
5119,8.57,8.55,Fully Staffed,Brunch,34.11
7822,6.46,11.61,Fully Staffed,Brunch,33.01
8726,4.47,19.27,Understaffed,Brunch,38.89
9123,5.73,8.43,Fully Staffed,Brunch,35.4
